datetime,symbol,open,high,low,close,volume
2019-09-18 08:00:00,okef/eth.usd.q,211.989,212.61,211.892,212.549,46517.0
2019-09-18 08:01:00,okef/eth.usd.q,212.549,212.822,212.315,212.4,40574.0
2019-09-18 08:02:00,okef/eth.usd.q,212.415,212.599,212.28,212.595,22658.0
2019-09-18 08:03:00,okef/eth.usd.q,212.595,213.419,212.594,213.419,37671.0
2019-09-18 08:04:00,okef/eth.usd.q,213.419,213.787,212.922,213.011,44125.0
2019-09-18 08:05:00,okef/eth.usd.q,212.987,213.059,212.871,213.001,16450.0
2019-09-18 08:06:00,okef/eth.usd.q,213.002,213.003,212.7,212.794,21663.0
2019-09-18 08:07:00,okef/eth.usd.q,212.793,212.934,212.708,212.916,4071.0
2019-09-18 08:08:00,okef/eth.usd.q,212.932,213.219,212.932,213.16,6273.0
2019-09-18 08:09:00,okef/eth.usd.q,213.159,213.2,212.985,213.047,12876.0
2019-09-18 08:10:00,okef/eth.usd.q,213.047,213.047,212.92,213.031,5069.0
2019-09-18 08:11:00,okef/eth.usd.q,213.031,213.5,213.031,213.438,12799.0
2019-09-18 08:12:00,okef/eth.usd.q,213.438,213.5,213.162,213.175,5703.0
2019-09-18 08:13:00,okef/eth.usd.q,213.185,213.21,213.011,213.096,5084.0
2019-09-18 08:14:00,okef/eth.usd.q,213.168,213.223,213.092,213.121,4612.0
2019-09-18 08:15:00,okef/eth.usd.q,213.111,213.267,213.111,213.267,3303.0
2019-09-18 08:16:00,okef/eth.usd.q,213.286,213.5,213.286,213.479,5769.0
2019-09-18 08:17:00,okef/eth.usd.q,213.48,213.52,213.417,213.442,3348.0
2019-09-18 08:18:00,okef/eth.usd.q,213.455,213.455,213.4,213.437,3492.0
2019-09-18 08:19:00,okef/eth.usd.q,213.437,213.738,213.407,213.633,13728.0
2019-09-18 08:20:00,okef/eth.usd.q,213.639,213.718,213.48,213.531,7665.0
2019-09-18 08:21:00,okef/eth.usd.q,213.531,213.548,213.48,213.548,5306.0
2019-09-18 08:22:00,okef/eth.usd.q,213.555,213.74,213.555,213.74,3373.0
2019-09-18 08:23:00,okef/eth.usd.q,213.735,213.882,213.665,213.747,7655.0
2019-09-18 08:24:00,okef/eth.usd.q,213.747,213.766,213.513,213.533,11593.0
2019-09-18 08:25:00,okef/eth.usd.q,213.574,213.705,213.574,213.639,4590.0
2019-09-18 08:26:00,okef/eth.usd.q,213.633,213.749,213.55,213.748,3484.0
2019-09-18 08:27:00,okef/eth.usd.q,213.749,213.969,213.749,213.85,18494.0
2019-09-18 08:28:00,okef/eth.usd.q,213.817,213.858,213.48,213.48,8754.0
2019-09-18 08:29:00,okef/eth.usd.q,213.462,213.558,213.413,213.52,3397.0
2019-09-18 08:30:00,okef/eth.usd.q,213.47,213.551,213.444,213.53,6980.0
2019-09-18 08:31:00,okef/eth.usd.q,213.545,213.588,213.464,213.522,2939.0
2019-09-18 08:32:00,okef/eth.usd.q,213.522,213.529,213.444,213.529,1277.0
2019-09-18 08:33:00,okef/eth.usd.q,213.529,213.529,213.509,213.529,2646.0
2019-09-18 08:34:00,okef/eth.usd.q,213.545,213.898,213.529,213.888,7776.0
2019-09-18 08:35:00,okef/eth.usd.q,213.864,213.897,213.686,213.751,7020.0
2019-09-18 08:36:00,okef/eth.usd.q,213.747,213.839,213.704,213.726,6479.0
2019-09-18 08:37:00,okef/eth.usd.q,213.803,213.831,213.686,213.83,13530.0
2019-09-18 08:38:00,okef/eth.usd.q,213.831,213.913,213.812,213.851,5760.0
2019-09-18 08:39:00,okef/eth.usd.q,213.847,213.872,213.835,213.872,6543.0
2019-09-18 08:40:00,okef/eth.usd.q,213.841,213.913,213.841,213.88,5200.0
2019-09-18 08:41:00,okef/eth.usd.q,213.881,213.913,213.84,213.841,2254.0
2019-09-18 08:42:00,okef/eth.usd.q,213.841,213.898,213.7,213.764,3703.0
2019-09-18 08:43:00,okef/eth.usd.q,213.76,213.76,213.64,213.641,5046.0
2019-09-18 08:44:00,okef/eth.usd.q,213.641,213.641,213.483,213.543,6936.0
2019-09-18 08:45:00,okef/eth.usd.q,213.543,213.543,213.459,213.49,6712.0
2019-09-18 08:46:00,okef/eth.usd.q,213.479,213.49,213.45,213.45,10113.0
2019-09-18 08:47:00,okef/eth.usd.q,213.451,213.819,213.451,213.8,20826.0
2019-09-18 08:48:00,okef/eth.usd.q,213.8,213.874,213.647,213.664,17428.0
2019-09-18 08:49:00,okef/eth.usd.q,213.664,213.691,213.603,213.657,3717.0
2019-09-18 08:50:00,okef/eth.usd.q,213.664,213.811,213.664,213.807,5409.0
2019-09-18 08:51:00,okef/eth.usd.q,213.806,213.866,213.806,213.866,2861.0
2019-09-18 08:52:00,okef/eth.usd.q,213.866,214.268,213.866,214.17,37864.0
2019-09-18 08:53:00,okef/eth.usd.q,214.246,214.39,214.238,214.39,16963.0
2019-09-18 08:54:00,okef/eth.usd.q,214.39,215.004,214.39,214.831,60977.0
2019-09-18 08:55:00,okef/eth.usd.q,214.831,214.887,214.562,214.628,19239.0
2019-09-18 08:56:00,okef/eth.usd.q,214.652,214.652,214.364,214.39,10728.0
2019-09-18 08:57:00,okef/eth.usd.q,214.389,214.889,214.365,214.765,28160.0
2019-09-18 08:58:00,okef/eth.usd.q,214.799,215.075,214.775,215.041,44795.0
2019-09-18 08:59:00,okef/eth.usd.q,215.039,217.5,215.039,216.104,252064.0
2019-09-18 09:00:00,okef/eth.usd.q,216.103,217.2,216.103,216.424,151854.0
2019-09-18 09:01:00,okef/eth.usd.q,216.429,216.604,215.952,216.405,82834.0
2019-09-18 09:02:00,okef/eth.usd.q,216.401,216.601,216.045,216.122,46108.0
2019-09-18 09:03:00,okef/eth.usd.q,216.121,216.121,215.733,215.853,24934.0
2019-09-18 09:04:00,okef/eth.usd.q,215.853,215.891,215.516,215.676,37812.0
2019-09-18 09:05:00,okef/eth.usd.q,215.663,215.896,215.519,215.767,18625.0
2019-09-18 09:06:00,okef/eth.usd.q,215.767,215.853,215.699,215.852,6212.0
2019-09-18 09:07:00,okef/eth.usd.q,215.852,216.0,215.841,215.956,10269.0
2019-09-18 09:08:00,okef/eth.usd.q,215.957,216.249,215.937,216.149,26428.0
2019-09-18 09:09:00,okef/eth.usd.q,216.149,216.5,216.081,216.262,17831.0
2019-09-18 09:10:00,okef/eth.usd.q,216.26,216.26,216.001,216.014,16969.0
2019-09-18 09:11:00,okef/eth.usd.q,216.013,216.013,215.873,215.874,18265.0
2019-09-18 09:12:00,okef/eth.usd.q,215.874,215.945,215.872,215.912,5849.0
2019-09-18 09:13:00,okef/eth.usd.q,215.912,215.912,215.617,215.651,10822.0
2019-09-18 09:14:00,okef/eth.usd.q,215.65,215.715,215.516,215.52,11982.0
2019-09-18 09:15:00,okef/eth.usd.q,215.52,215.615,215.344,215.385,31115.0
2019-09-18 09:16:00,okef/eth.usd.q,215.43,215.431,215.18,215.2,17897.0
2019-09-18 09:17:00,okef/eth.usd.q,215.197,215.257,214.907,215.079,25329.0
2019-09-18 09:18:00,okef/eth.usd.q,215.079,215.164,214.915,214.972,31205.0
2019-09-18 09:19:00,okef/eth.usd.q,214.972,214.973,214.909,214.955,9964.0
2019-09-18 09:20:00,okef/eth.usd.q,214.972,215.758,214.972,215.726,31092.0
2019-09-18 09:21:00,okef/eth.usd.q,215.725,216.148,215.683,215.786,46295.0
2019-09-18 09:22:00,okef/eth.usd.q,215.786,215.889,215.762,215.826,5546.0
2019-09-18 09:23:00,okef/eth.usd.q,215.827,216.018,215.827,216.018,22388.0
2019-09-18 09:24:00,okef/eth.usd.q,216.018,216.259,216.018,216.259,9235.0
2019-09-18 09:25:00,okef/eth.usd.q,216.297,216.667,216.297,216.506,34313.0
2019-09-18 09:26:00,okef/eth.usd.q,216.505,216.821,216.386,216.395,53349.0
2019-09-18 09:27:00,okef/eth.usd.q,216.395,216.469,216.072,216.199,22511.0
2019-09-18 09:28:00,okef/eth.usd.q,216.198,216.2,215.981,216.028,11965.0
2019-09-18 09:29:00,okef/eth.usd.q,216.027,216.2,215.984,216.162,7496.0
2019-09-18 09:30:00,okef/eth.usd.q,216.162,216.162,215.863,215.863,23878.0
2019-09-18 09:31:00,okef/eth.usd.q,215.862,215.884,215.802,215.807,1032.0
2019-09-18 09:32:00,okef/eth.usd.q,215.806,215.844,215.0,215.001,43236.0
2019-09-18 09:33:00,okef/eth.usd.q,215.384,215.613,215.002,215.442,36718.0
2019-09-18 09:34:00,okef/eth.usd.q,215.442,215.606,215.2,215.203,9149.0
2019-09-18 09:35:00,okef/eth.usd.q,215.202,215.69,215.174,215.69,22093.0
2019-09-18 09:36:00,okef/eth.usd.q,215.69,215.764,215.506,215.609,4278.0
2019-09-18 09:37:00,okef/eth.usd.q,215.609,215.822,215.566,215.7,10121.0
2019-09-18 09:38:00,okef/eth.usd.q,215.699,215.7,215.292,215.292,10160.0
2019-09-18 09:39:00,okef/eth.usd.q,215.292,215.5,215.261,215.327,14672.0
2019-09-18 09:40:00,okef/eth.usd.q,215.327,215.684,215.327,215.684,6820.0
2019-09-18 09:41:00,okef/eth.usd.q,215.684,215.809,215.668,215.775,10525.0
2019-09-18 09:42:00,okef/eth.usd.q,215.797,215.802,215.775,215.775,4191.0
2019-09-18 09:43:00,okef/eth.usd.q,215.775,215.775,215.552,215.552,14285.0
2019-09-18 09:44:00,okef/eth.usd.q,215.549,215.725,215.512,215.69,5021.0
2019-09-18 09:45:00,okef/eth.usd.q,215.683,215.749,215.683,215.748,9863.0
2019-09-18 09:46:00,okef/eth.usd.q,215.748,215.771,215.374,215.374,5952.0
2019-09-18 09:47:00,okef/eth.usd.q,215.333,215.406,215.161,215.382,11902.0
2019-09-18 09:48:00,okef/eth.usd.q,215.406,215.406,215.327,215.36,3230.0
2019-09-18 09:49:00,okef/eth.usd.q,215.36,215.391,215.311,215.348,2301.0
2019-09-18 09:50:00,okef/eth.usd.q,215.348,215.382,215.307,215.382,3736.0
2019-09-18 09:51:00,okef/eth.usd.q,215.356,215.732,215.352,215.728,7050.0
2019-09-18 09:52:00,okef/eth.usd.q,215.728,215.8,215.616,215.64,5667.0
2019-09-18 09:53:00,okef/eth.usd.q,215.648,215.808,215.642,215.729,8595.0
2019-09-18 09:54:00,okef/eth.usd.q,215.728,215.728,215.699,215.699,9620.0
2019-09-18 09:55:00,okef/eth.usd.q,215.676,215.86,215.587,215.849,21506.0
2019-09-18 09:56:00,okef/eth.usd.q,215.854,215.863,215.848,215.854,4907.0
